crowding,overlap,total_pop,rich_count,final_social_mean,final_social_std
0.0,5,50,16,0.32,0.2262741699796952
0.0,5,50,8,0.35333333333333333,0.14636332266733434
0.0,5,50,4,0.37333333333333335,0.2639865316429777
0.0,5,50,2,0.43333333333333335,0.35565276448931044
0.0,10,100,16,0.30333333333333334,0.13597385369580758
0.0,10,100,8,0.6033333333333334,0.1465908895153068
0.0,10,100,4,0.43333333333333335,0.09463379711052261
0.0,10,100,2,0.3866666666666667,0.04496912521077347
0.4,5,50,16,0.5266666666666667,0.3172100600898752
0.4,5,50,8,0.6666666666666666,0.19067132861433456
0.4,5,50,4,0.25333333333333335,0.10498677165349082
0.4,5,50,2,0.4066666666666667,0.2288133640230735
0.4,10,100,16,0.49666666666666665,0.11556623882239814
0.4,10,100,8,0.4466666666666667,0.04496912521077347
0.4,10,100,4,0.4533333333333333,0.11025223605694151
0.4,10,100,2,0.38999999999999996,0.008164965809277268
1.0,5,50,16,0.12666666666666668,0.10624918300339485
1.0,5,50,8,0.10000000000000002,0.08164965809277261
1.0,5,50,4,0.19999999999999998,0.10198039027185571
1.0,5,50,2,0.45999999999999996,0.26280537792569364
1.0,10,100,16,0.4266666666666666,0.054365021434333645
1.0,10,100,8,0.4033333333333333,0.1144066820115368
1.0,10,100,4,0.47333333333333333,0.0758653778449403
1.0,10,100,2,0.37333333333333335,0.13816254517375137
