case,param,value,world_mode,rich_count,final_social_mean,final_social_std,mean_selection_diff_last50,mean_occupancy_var_last50,total_pop,bees_per_generation,generations_overlap,num_flowers,rich_vs_poor_ratio,crowding,mutation_rate,steps_per_gen,generations,starting_bee_ratio,repeats
baseline,,,stable,16,0.284,0.23900627606822383,-32.1274706723126,7.978,100,20,5,16,20,0.4,0.01,100,200,0.5,20
baseline,,,high,2,0.5335,0.321531880223408,25.430830228923977,217.62649999999996,100,20,5,16,20,0.4,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.0,stable,16,0.48750000000000016,0.2999979166594328,-1.0,33.255624999999995,100,20,5,16,20,0.0,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.0,high,2,0.46349999999999997,0.28023695330915943,57.50331517743178,220.16475000000003,100,20,5,16,20,0.0,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.2,stable,16,0.48599999999999993,0.27925615481131294,-5.576707264019146,42.81799999999999,100,20,5,16,20,0.2,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.2,high,2,0.465,0.2405722344743882,29.172490623258582,209.163125,100,20,5,16,20,0.2,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.4,stable,16,0.5005000000000001,0.2412566061271691,-35.900904907375875,13.639,100,20,5,16,20,0.4,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.4,high,2,0.6319999999999999,0.22164385847570872,16.09303880517197,211.32425000000003,100,20,5,16,20,0.4,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.6,stable,16,0.33699999999999997,0.23121634890292686,-31.183557514133234,7.162000000000001,100,20,5,16,20,0.6,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,0.6,high,2,0.45199999999999996,0.3095092890366944,-8.027101051956036,216.9875,100,20,5,16,20,0.6,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,1.0,stable,16,0.0865,0.0863872097014367,-34.442379025680154,2.075625,100,20,5,16,20,1.0,0.01,100,200,0.5,20
CROWDING_PARAMETER,CROWDING_PARAMETER,1.0,high,2,0.1705,0.1705131959702826,-21.15543694472883,92.620875,100,20,5,16,20,1.0,0.01,100,200,0.5,20
MUTATION_RATE,MUTATION_RATE,0.0,stable,16,0.4640000000000001,0.4086000489476231,-76.68736052193914,114.102625,100,20,5,16,20,0.4,0.0,100,200,0.5,20
MUTATION_RATE,MUTATION_RATE,0.0,high,2,0.49350000000000005,0.3325548826885571,-360.12629036713554,242.904875,100,20,5,16,20,0.4,0.0,100,200,0.5,20
